"id","name","public_categ_ids/id","list_price","description"
"product.product_product_7_product_template","Apple In-Ear Headphones","product.Headset","79.0",""
"product.product_product_9_product_template","Apple Wireless Keyboard","product.Keyboard_Mouse","47.0",""
"product.product_product_5b_product_template","Bose Mini Bluetooth Speaker","product.Speakers","247.0",""
"product.product_product_8_product_template","iMac","product.Computer_all_in_one","1799.0",""
"product.product_product_11_product_template","iPod","product.Computer_all_in_one","16.5",""
"product.product_product_6_product_template","iPad Mini","product.Screen","320.0",""
"product.product_product_4_product_template","iPad Retina Display","product.Computer_all_in_one","750.0",""
"product.product_product_52_product_template","30m RJ45 wire","","250.0",""
"product.product_product_51_product_template","8-port Switch","","600.0",""
"product.product_product_57_product_template","Basic Computer","","23500.0",""
"product.product_product_35_product_template","Blank CD","product.Components","20.0",""
"product.product_product_36_product_template","Blank DVD-RW","product.Components","24.0",""
"product.product_product_16_product_template","Computer Case","product.Components","25.0",""
"product.product_product_3_product_template","Computer SC234","product.Computer_all_in_one","450.0",""
"product.product_product_5_product_template","Custom Computer (kit)","product.Computer_all_in_one","147.0","Custom computer shipped in kit."
"product.product_product_46_product_template","Datacard","product.Pen_Drive","40.0",""
"product.product_product_49_product_template","Dell Inspiron Laptop without OS","","44000.0",""
"sale.advance_product_0_product_template","Deposit","","150.0",""
"product.product_product_55_product_template","Desktop Computer Table","","1800.0",""
"product.product_product_56_product_template","Desktop Lamp","","180.0",""
"product.product_product_54_product_template","Ergonomic Mouse","","300.0",""
"product.product_product_1b_product_template","External Audit","","180.0","Example of products to invoice based on cost."
"product.product_product_28_product_template","External Hard disk","product.External_Hard_Drive","405.0",""
"product.product_product_1_product_template","GAP Analysis Service","product.services","30.75","Example of products to invoice based on delivery."
"product.product_product_44_product_template","GrapWorks Software","product.Software","173.0",""
"product.product_product_24_product_template","Graphics Card","product.Components","885.0",""
"product.product_product_17_product_template","HDD SH-1","product.Components","975.0",""
"product.product_product_18_product_template","HDD SH-2 (mto)","product.Components","1150.0",""
"product.product_product_19_product_template","HDD on Demand","product.Components","1250.0","On demand hard-disk having capacity based on requirement."
"product.product_product_33_product_template","Headset USB","product.Headset","65.0","Headset for laptop PC with USB connector."
"product.product_product_32_product_template","Headset standard","product.Headset","62.0","Hands free headset for laptop PC with in-line microphone and headphone plug."
"product.product_product_38_product_template","Ink Cartridge","product.printer","65.0",""
"product.product_product_27_product_template","Laptop Customized","product.laptops","3645.0","Custom Laptop based on customer's requirement."
"product.product_product_25_product_template","Laptop E5023","product.laptops","2950.0","17"" Monitor 4GB RAM Standard-1294P Processor QWERTY keyboard"
"product.product_product_26_product_template","Laptop S3450","product.laptops","3245.0","17"" Monitor 6GB RAM Hi-Speed 234Q Processor QWERTY keyboard"
"product.product_product_50_product_template","Linutop","","25000.0",""
"product.product_product_58_product_template","Little server","","40000.0",""
"product.product_product_21_product_template","Motherboard A20Z7","product.Components","2000.0",""
"product.product_product_20_product_template","Motherboard I9P57","product.Components","1950.0",""
"product.product_product_10_product_template","Mouse, Optical","product.Keyboard_Mouse","14.0",""
"product.product_product_12_product_template","Mouse, Wireless","product.Keyboard_Mouse","12.5",""
"product.product_product_31_product_template","Multimedia Speakers","product.Speakers","150.0","."
"product.product_product_42_product_template","Office Suite","product.Software","170.0",""
"product.product_product_29_product_template","Pen drive, SP-2","product.Pen_Drive","100.0",""
"product.product_product_30_product_template","Pen drive, SP-4","product.Pen_Drive","145.0",""
"product.product_product_0_product_template","Prepaid Consulting","","90.0","Example of product to invoice on order."
"product.product_product_37_product_template","Printer, All-in-one","product.printer","4410.0","All in one hi-speed printer with fax and scanner."
"product.product_product_23_product_template","Processor AMD 8-Core","product.Components","1980.0",""
"product.product_product_22_product_template","Processor Core i5 2.70 Ghz","product.Components","2100.0",""
"product.product_product_14_product_template","RAM SR2 (kit)","product.Components","95.0",""
"product.product_product_15_product_template","RAM SR3","product.Components","85.0",""
"product.product_product_13_product_template","RAM SR5","product.Components","85.0",""
"product.product_product_45_product_template","Router R430","product.network","60.0",""
"product.product_product_59_product_template","Server","","60000.0",""
"product.product_product_2_product_template","Support Services","product.services","38.25","Example of product to invoice based on delivery."
"product.product_product_47_product_template","Switch, 24 ports","product.network","70.0",""
"product.product_product_39_product_template","Toner Cartridge","product.printer","70.0",""
"product.product_product_53_product_template","TypeMatrix Dvorak Keyboard","","3000.0",""
"product.product_product_48_product_template","USB Adapter","product.Components","18.0",""
"product.product_product_34_product_template","Webcam","product.Components","45.0",""
"product.product_product_40_product_template","Windows 7 Professional","product.Software","470.0",""
"product.product_product_41_product_template","Windows Home Server 2011","product.Software","620.0",""
"product.product_product_43_product_template","Zed+ Antivirus","product.Software","280.0",""
